Id,age,years_of_experience,lesson_price,qualification,physics,chemistry,biology,english,geography,history,mean_exam_points
0,40.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,61
1,48.0,4.0,2850.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,76
2,39.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53
3,46.0,5.0,1400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54
4,43.0,1.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57
5,33.0,4.0,1650.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39
6,53.0,1.0,2100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66
7,60.0,3.0,1800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62
8,39.0,1.0,1200.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52
9,49.0,5.0,1750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32
10,34.0,3.0,1150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63
11,50.0,2.0,2100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65
12,42.0,3.0,1300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53
13,49.0,2.0,2300.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,79
14,45.0,4.0,2600.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,87
15,43.0,4.0,1150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58
16,49.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71
17,46.0,3.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51
18,46.0,3.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68
19,54.0,0.0,1550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32
20,57.0,3.0,1650.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42
21,52.0,5.0,1850.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,43
22,49.0,6.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43
23,58.0,4.0,1850.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33
24,60.0,1.0,1300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60
25,42.0,4.0,1200.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,63
26,49.0,0.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38
